concept_id	concept_level	exercise_id	exercise_level	exercise_type_id
3392	B	41868	B1	36
3392	B	41878	B2	66
3393	B	41884	B1	48
3393	B	41889	B2	57
3394	B	41899	B1	46
3394	B	41904	B2	66
3395	B	41917	B1	45
3396	B	41929	B1	42
3397	B	41933	B1	42
3398	B	41937	B1	37
3398	B	41942	B2	56
3399	B	41953	B2	55
3400	B	41969	B1	46
3400	B	41971	B2	65
3403	B	42010	B2	64
3404	B	42017	B1	43
3404	B	42024	B2	66
3405	B	42033	B1	42
3407	B	42058	B1	39
3407	B	42062	B2	66
3408	B	42066	B1	36
3409	B	42069	B1	36
3409	B	42077	B2	53
3412	B	42109	B1	38
3412	B	42117	B2	60
3413	B	42126	B1	45
3413	B	42129	B2	62
3414	B	42134	B1	49
3414	B	42142	B2	57
3415	B	42148	B1	32
3415	B	42156	B2	66
3416	B	42168	B1	47
3416	B	42169	B2	65
3417	B	42173	B2	54
3418	B	42184	B1	42
3418	B	42186	B2	67
3419	B	42192	B1	34
3419	B	42198	B2	63
3420	B	42202	B1	31
3420	B	42211	B2	66
3421	B	42215	B1	34
3422	B	42226	B1	47
3422	B	42228	B2	66
3423	B	42233	B1	45
3423	B	42238	B2	50
3424	B	42248	B1	44
3424	B	42254	B2	66
3425	B	42258	B1	32
3425	B	42266	B2	66
3426	B	42270	B1	36
3426	B	42280	B2	66
3427	B	42285	B1	38
3427	B	42290	B2	56
3428	B	42297	B1	32
3428	B	42304	B2	62
3429	B	42309	B1	31
3429	B	42319	B2	67
3430	B	42322	B2	55
3433	B	42355	B1	35
3433	B	42360	B2	66
3434	B	42369	B1	36
3434	B	42374	B2	66
